# curadoria do cristal — 13/08/2026; a fusão guarda as duas partes
# acao	id_resultado	id_absorvido	regra	motivo
funde	broca_os_hub_broca_os_hub_do_sistema_fractal	broca_os_hub_do_sistema_fractal	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	tiffany_cabeca_broca_cadeia_ia_no_projecto	cadeia_ia_no_projecto	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	colapso_koch_tiffany_camadas_de_tecido	camadas_de_tecido	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	colapso_koch_tiffany_colapso_koch_operador_ψ_da_tiffany	colapso_koch_operador_ψ_da_tiffany	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	birkeland_correntes_plasma_correntes_de_birkeland_filamentos_de_plasma	correntes_de_birkeland_filamentos_de_plasma	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	semiotica_peirce_triade_distincao_peirce_filosofo_vs_algebra_broca-so	distincao_peirce_filosofo_vs_algebra_broca-so	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	fibracao_hopf_bloch_dois_qubits_s7_s4	dois_qubits_s7_s4	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	microscopia_fotoionizacao_hidrogenio_equacao_de_referencia_mq_standard	equacao_de_referencia_mq_standard	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	fibracao_hopf_bloch_esfera_de_bloch	esfera_de_bloch	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	birkeland_correntes_plasma_evidencia	evidencia	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	tiffany_cabeca_broca_experimentos_reprodutiveis	experimentos_reprodutiveis	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	birkeland_correntes_plasma_falsificacao_dougherty_teste_2	falsificacao_dougherty_teste_2	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	fase_geometrica_berry_fase_pancharatnamberry	fase_pancharatnamberry	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	fase_geometrica_berry_fase_dinamica_vs_geometrica	fase_dinamica_vs_geometrica	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	fase_geometrica_berry_fase_geometrica_de_berry_pancharatnamberry	fase_geometrica_de_berry_pancharatnamberry	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	fibracao_hopf_bloch_fase_global_e_observador	fase_global_e_observador	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	fibracao_hopf_bloch_fibracao_de_hopf_e_esfera_de_bloch	fibracao_de_hopf_e_esfera_de_bloch	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	fibracao_hopf_bloch_fibracao_de_hopf	fibracao_de_hopf	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	microscopia_fotoionizacao_hidrogenio_fontes_web	fontes_web	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	geometria_hub_broca_geometria_hub_broca-so	geometria_hub_broca-so	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	microscopia_fotoionizacao_hidrogenio_microscopia_de_fotoionizacao_orbitais_de_hi	microscopia_de_fotoionizacao_orbitais_de_hidrogenio_stodolna_2013	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	microscopia_fotoionizacao_hidrogenio_metodo	metodo	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	birkeland_correntes_plasma_o_que_sao	o_que_sao	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	geometria_hub_broca_o_que_e_no_projecto	o_que_e_no_projecto	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	broca_os_hub_o_que_e	o_que_e	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	colapso_koch_tiffany_operador_ψ_collapse	operador_ψ_collapse	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	tiffany_cabeca_broca_pipeline_conversacional	pipeline_conversacional	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	fibracao_hopf_bloch_ponte_broca-so_confirmacao	ponte_broca-so_confirmacao	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	geometria_hub_broca_pontes_conjecturais_hipotese_analogia	pontes_conjecturais_hipotese_analogia	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	geometria_hub_broca_pontes_verificadas_fato	pontes_verificadas_fato	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	colapso_koch_tiffany_quinteto_bai	quinteto_bai	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	colapso_koch_tiffany_relacao_koch	relacao_koch	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	fase_geometrica_berry_relacao_com_hipotese_dougherty	relacao_com_hipotese_dougherty	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	colapso_koch_tiffany_relacao_com_hipoteses_externas	relacao_com_hipoteses_externas	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	birkeland_correntes_plasma_relacao_fisica_standard	relacao_fisica_standard	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	microscopia_fotoionizacao_hidrogenio_resultado-chave	resultado-chave	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	microscopia_fotoionizacao_hidrogenio_resumo	resumo	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	semiotica_peirce_triade_semeiosis_e_observador	semeiosis_e_observador	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	semiotica_peirce_triade_semiotica_triadica_de_charles_sanders_peirce	semiotica_triadica_de_charles_sanders_peirce	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	broca_os_hub_sequencia_pow_nativa	sequencia_pow_nativa	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	tiffany_cabeca_broca_tiffany_cabeca_conversacional_broca-so	tiffany_cabeca_conversacional_broca-so	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	semiotica_peirce_triade_tipos_de_interpretante	tipos_de_interpretante	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	fase_geometrica_berry_transporte_paralelo_e_bloch_sphere	transporte_paralelo_e_bloch_sphere	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	semiotica_peirce_triade_triade_signo-objeto-interpretante	triade_signo-objeto-interpretante	texto-identico	mesmo texto por dois esquemas de endereço; mantém o específico
funde	processo	processos	julgada	mesmo conceito: programa em execução como unidade de isolamento e scheduling
funde	reticulado	reticulados	julgada	mesmo conceito: ordem parcial com join e meet
funde	alexander_alekhine	alekhine	julgada	a mesma pessoa, dois registos
funde	bobby_fischer	fischer	julgada	a mesma pessoa, dois registos
funde	garry_kasparov	kasparov	julgada	a mesma pessoa, dois registos
funde	paul_morphy	morphy	julgada	a mesma pessoa, dois registos
funde	numeros_de_pisot	numeros_pisot	julgada	mesmo conceito: algébricos >1 com conjugados de módulo <1
funde	rede_inteligente	smart_grid	julgada	mesmo conceito e mesmo domínio: a rede com medição e controle bidirecionais
mantem	arte	artes	julgada	o conceito geral vs a enumeração das práticas
mantem	pergunta	perguntas	julgada	conceito de interrogação vs secção de um documento
mantem	contraexemplo	contraexemplos	julgada	contraexemplo MQ/Dougherty vs Broca≠Linux — conteúdos distintos
mantem	referencia	referencias	julgada	listas de referência de fontes distintas
mantem	modelo_de_ameaca	modelo_de_ameacas	julgada	torção/assinatura vs threat modeling — homónimos
mantem	analise_de_fourier	transformada_de_fourier	julgada	análise ⊋ transformada; domínios distintos
